T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                1000                   4                   4                   0                 0.5
1                1000                   4                   7                   0                   0
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
1                1000                   4                   9                  -2                  -1
