T           MC_cycles             N_spins                   E                   M
1                 100                   4                   0                -0.5
1                 100                   4                   0                   0
1                 100                   4         -0.66666667         -0.33333333
1                 100                   4                -0.5               -0.25
1                 100                   4                -0.4                -0.2
1                 100                   4         -0.33333333         -0.16666667
1                 100                   4         -0.28571429         -0.14285714
1                 100                   4               -0.25              -0.125
1                 100                   4         -0.22222222         -0.11111111
1                 100                   4                -0.2                -0.1
1                 100                   4         -0.18181818        -0.090909091
1                 100                   4         -0.16666667        -0.083333333
1                 100                   4         -0.15384615        -0.076923077
1                 100                   4         -0.14285714        -0.071428571
1                 100                   4         -0.13333333        -0.066666667
1                 100                   4              -0.125             -0.0625
1                 100                   4         -0.11764706        -0.058823529
1                 100                   4         -0.11111111        -0.055555556
1                 100                   4         -0.10526316        -0.052631579
1                 100                   4                -0.1               -0.05
1                 100                   4        -0.095238095        -0.047619048
1                 100                   4        -0.090909091        -0.045454545
1                 100                   4        -0.086956522        -0.043478261
1                 100                   4        -0.083333333        -0.041666667
1                 100                   4               -0.08               -0.04
1                 100                   4        -0.076923077        -0.038461538
1                 100                   4        -0.074074074        -0.037037037
1                 100                   4        -0.071428571        -0.035714286
1                 100                   4        -0.068965517        -0.034482759
1                 100                   4        -0.066666667        -0.033333333
1                 100                   4        -0.064516129        -0.032258065
1                 100                   4             -0.0625            -0.03125
1                 100                   4        -0.060606061         -0.03030303
1                 100                   4        -0.058823529        -0.029411765
1                 100                   4        -0.057142857        -0.028571429
1                 100                   4        -0.055555556        -0.027777778
1                 100                   4        -0.054054054        -0.027027027
1                 100                   4        -0.052631579        -0.026315789
1                 100                   4        -0.051282051        -0.025641026
1                 100                   4               -0.05              -0.025
1                 100                   4        -0.048780488        -0.024390244
1                 100                   4        -0.047619048        -0.023809524
1                 100                   4        -0.046511628        -0.023255814
1                 100                   4        -0.045454545        -0.022727273
1                 100                   4        -0.044444444        -0.022222222
1                 100                   4        -0.043478261         -0.02173913
1                 100                   4        -0.042553191        -0.021276596
1                 100                   4        -0.041666667        -0.020833333
1                 100                   4        -0.040816327        -0.020408163
1                 100                   4               -0.04               -0.02
1                 100                   4        -0.039215686        -0.019607843
1                 100                   4        -0.038461538        -0.019230769
1                 100                   4        -0.037735849        -0.018867925
1                 100                   4        -0.037037037        -0.018518519
1                 100                   4        -0.036363636        -0.018181818
1                 100                   4        -0.035714286        -0.017857143
1                 100                   4        -0.035087719         -0.01754386
1                 100                   4        -0.034482759        -0.017241379
1                 100                   4        -0.033898305        -0.016949153
1                 100                   4        -0.033333333        -0.016666667
1                 100                   4        -0.032786885        -0.016393443
1                 100                   4        -0.032258065        -0.016129032
1                 100                   4        -0.031746032        -0.015873016
1                 100                   4            -0.03125           -0.015625
1                 100                   4        -0.030769231        -0.015384615
1                 100                   4         -0.03030303        -0.015151515
1                 100                   4        -0.029850746        -0.014925373
1                 100                   4        -0.029411765        -0.014705882
1                 100                   4        -0.028985507        -0.014492754
1                 100                   4        -0.028571429        -0.014285714
1                 100                   4        -0.028169014        -0.014084507
1                 100                   4        -0.027777778        -0.013888889
1                 100                   4         -0.02739726         -0.01369863
1                 100                   4        -0.027027027        -0.013513514
1                 100                   4        -0.026666667        -0.013333333
1                 100                   4        -0.026315789        -0.013157895
1                 100                   4        -0.025974026        -0.012987013
1                 100                   4        -0.025641026        -0.012820513
1                 100                   4        -0.025316456        -0.012658228
1                 100                   4              -0.025             -0.0125
1                 100                   4        -0.024691358        -0.012345679
1                 100                   4        -0.024390244        -0.012195122
1                 100                   4        -0.024096386        -0.012048193
1                 100                   4        -0.023809524        -0.011904762
1                 100                   4        -0.023529412        -0.011764706
1                 100                   4        -0.023255814        -0.011627907
1                 100                   4        -0.022988506        -0.011494253
1                 100                   4        -0.022727273        -0.011363636
1                 100                   4         -0.02247191        -0.011235955
1                 100                   4        -0.022222222        -0.011111111
1                 100                   4        -0.021978022        -0.010989011
1                 100                   4         -0.02173913        -0.010869565
1                 100                   4        -0.021505376        -0.010752688
1                 100                   4        -0.021276596        -0.010638298
1                 100                   4        -0.021052632        -0.010526316
1                 100                   4        -0.020833333        -0.010416667
1                 100                   4        -0.020618557        -0.010309278
1                 100                   4        -0.020408163        -0.010204082
1                 100                   4         -0.02020202         -0.01010101
1                 100                   4               -0.02               -0.01
