T           MC_cycles             N_spins      accepted flips               <E>/N             <|M|>/N
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
1               10000                   4                   3                  -2                   1
