Temp           MC_cycles             N_spins               <E>/N               <M>/N             <|M|>/N                  Cv                  Xi
1.8571429                1000                   4              -1.858             -0.1355              0.9575          0.30598731           1.9920702
1.8730159                1000                   4               -3.68             -0.1525              1.8985          -11.281816           1.9299078
1.8888889                1000                   4               -5.54              -0.282               2.852          -30.233967           1.8278533
1.9047619                1000                   4              -7.388              -0.253               3.801          -56.089489           1.8352607
1.9206349                1000                   4              -9.206              0.3025              4.7365          -87.952594           1.7320974
1.9365079                1000                   4              -11.04                0.23               5.679          -126.08851           1.8131053
1.952381                1000                   4             -12.884               0.079               6.623          -170.31969           1.9006325
1.968254                1000                   4             -14.662               0.005               7.551          -218.28938           1.8481536
1.984127                1000                   4             -16.438              -0.401               8.479          -270.91953           1.5102026
2                1000                   4             -18.292             -0.3085              9.4305          -330.88569           1.6899753
