T             MC_cycles-ac                  N_spins                    <E>/N                    <M>/N                  <|M|>/N                       Cv                       Xi                     varE                     varM
2.3                    10000                        4                   0.1692                  -0.0097                   0.0251        0.809505754253308       0.0443581043478261               4.28228544               0.10202364
2.3                    10000                        4               -2887.0218                  -3.5894                  4.67385         -235257.71672986         27.9701437217391        -1244513.32150096              64.33133056
2.31111111111111                    10000                        4                  -0.0256                 -0.00345                  0.00345        0.183436721893491      0.00582074567307692               0.97977856               0.01345239
2.31111111111111                    10000                        4                -677.8166                  -6.3584                   6.6964         364898.837053621         58.2724461461539         1949010.28225776             134.67409776
2.3                    10000                        4                -735.0998                 -6.50035                   6.8377        -313098.448671955        -72.0878092956522        -1656290.79347464            -165.80196138
2.31111111111111                    10000                        4                -659.8742                 -3.62785                  3.68105         264706.986956575         15.7786085379808         1413862.10909744              36.46611751
2.32222222222222                    10000                        4               -1759.3645                 -3.73415                  3.86245        -255697.278405533        -1.04193512009569          -1378902.817041              -2.41960489
2.31111111111111                    10000                        4               -1188.9682                 -4.66335                  4.79065         -52703.667376206         8.34134153798076         -281502.65004496              19.27776711
2.32222222222222                    10000                        4                -399.8263                  -1.4267                   1.5458         161576.193319687          7.2002620076555          871334.53091324              16.72060844
2.33333333333333                    10000                        4               -5792.4325                 -25.8031                 27.90135        -673789.032114795         201.506880668572        -3668406.95262499             470.18272156
2.32222222222222                    10000                        4                -6369.391                 -27.2212                 29.35665        -26419607.8671008        -1222.06374236842        -142473443.363312            -2837.9035795
2.32222222222222                    10000                        4                  -4.3654                  0.06645                   0.0764         432.209430278977        0.471159727751196            2330.78273136               1.09413759
2.33333333333333                    10000                        4                   -8.378                  -0.2269                   0.2408          356.86220767347               1.01608524              1942.916464               2.37086556
2.34444444444444                    10000                        4                -114.5971                 -3.77025                  4.47735         33648.6808130886         88.3951676658768          184947.27388636             207.23755975
2.33333333333333                    10000                        4                -839.8576                  1.24175                    2.184         537430.442269401         17.5866976071429         2926010.18568896              41.03562775
2.33333333333333                    10000                        4               -421.81815                 -1.90215                   2.6822         305670.582224506         57.3391720757143         1664206.50322231             133.79140151
2.34444444444444                    10000                        4               -1893.7017                 12.60475                  14.1993         806985.895933029         278.909577618483         4435533.21886844             653.88800975
2.35555555555556                    10000                        4               -2955.2538                  22.4576                  24.1435        -3035700.35883375        -187.027832695755        -16844014.4354844            -440.55445035
2.34444444444444                    10000                        4                -4331.074                 35.18945                 36.87535        -9104557.06044614        -1199.45532929969        -50042467.2701386        -2812.05638313593
2.35555555555556                    10000                        4                -293.2247                 -1.17875                   1.2655         171001.696390199         6.73068130896227          948827.19043964              15.85449375
2.35555555555556                    10000                        4               -4888.9182                -11.91755                  12.2235         2.36666666666667                    10000                        4                -4903.714                 -11.9318                 12.23775        -17126161.5186734        -240.489145428169        -95925533.5729249            -569.15764418
      -2955.2538                  22.4576                  24.1435        -3035700.35883375        -187.027832695755        -16844014.4354844            -440.55445035
2.34444444444444                    10000                        4                -4331.074                 35.18945                 36.87535        -9104557.06044614        -1199.45532929969        -50042467.2701386        -2812.05638313593
2.35555555555556                    10000                        4                -293.2247                 -1.17875                   1.2655         171001.696390199         6.73068130896227          948827.19043964              15.85449375
2.35555555555556                    10000                        4               -4888.9182                -11.91755                  12.2235-12612261.9526325         63.8897298070755         -69980926.073965             150.49580799
2.36666666666667                    10000                        4                -3737.789                  -4.8806                   7.6339          1151842.8877295         66.6896089690141           6451599.996716             157.83207456
2.36666666666667                    10000                        4               -7950.3357                 -15.6146                 18.74955        -29085297.5070009        -118.768572392958        -162909983.036435            -281.08562133
2.37777777777778                    10000                        4              -8827.61445                -20.45475                 23.63315        -52607325.1524234        -519.239511807001        -297432723.787702        -1234.63617251887
2.34444444444444                    10000                        4               -9557.3918                -23.31785                 26.49625        -64171913.0921351        -844.309202582656        -352715770.712957        -1979.43601938823
2.37777777777778                    10000                        4               -1455.3085                 -13.1096                  13.3764         1018048.50744823         177.862058983178           5755870.302111             422.91645136
2.37777777777778                    10000                        4               -1187.8922                  -8.3353                  8.43565         774261.172981151         86.4025635869159         4377538.84911664             205.44609564
2.35555555555556                    10000                        4               -1574.8598                -10.97685                  11.0772        -935091.049643568        -110.816196873113        -5188485.44878772            -261.03370819
2.36666666666667                    10000                        4               -1425.7055                  10.0869                   10.878         1216336.07138486         222.487095870423           6812833.484279             526.55279356
2.38888888888889                    10000                        4               -2573.1352                 16.25675                  8.59305        -1196080.17719846        -198.931491104651        -6825778.54209864            -475.22522875
2.38888888888889                    10000                        4               -5537.5028                 28.40115                 20.77085        -10526056.0240117        -907.169774669854        -60069992.5567826        -2167.12779504465
2.37777777777778                    10000                        4               -9970.5229                -78.77085                 80.59735        -29963383.8681586        -4412.91891822477        -169407793.534098          -10492.94053889
2.38888888888889                    10000                        4              -10354.0056                -81.20515                  83.0533        -32705692.8554206        -10804.7405726874        -186644524.968125          -25811.32470142
2.4                    10000                        4              -12426.1767                -93.66755                  95.5157        -94059880.2293407        -13479.4992141356        -541784910.121002        -32350.7981139255
2.4                    10000                        4               -1411.0551                   3.5522                   6.6467        -6715.10134445141         58.3834169333333        -38678.9837440401             140.12020064
2.4                    10000                        4               -1518.0407                  3.53815                  6.68815        -1431771.61318164        -20.7893593416667        -8247004.49192624             -49.89446242
2.38888888888889                    10000                        4               -3210.5412                   3.5477                   7.3474        -4535831.64739424        -20.0089604110073        -25885039.2470122         -47.799183204073
2.4                    10000                        4                  -1.6548                  0.00465                  0.88575        0.401136777777778         1.42825562916667               2.31054784               3.42781351
